  3901.000	   159.000	   155.000	     1.081
  4001.000	   164.000	   159.000	     1.108
  4101.000	   168.000	   164.000	     1.136
  4201.000	   173.000	   169.000	     1.164
  4301.000	   178.000	   173.000	     1.191
  4401.000	   182.000	   178.000	     1.219
  4501.000	   187.000	   182.000	     1.247
  4601.000	   191.000	   186.000	     1.275
  4701.000	   196.000	   191.000	     1.302
  4801.000	   200.000	   195.000	     1.330
   100.000	     2.000	     2.000	     0.028
   200.000	     5.000	     4.000	     0.056
   300.000	     8.000	     7.000	     0.084
   400.000	    11.000	    10.000	     0.112
   500.000	    14.000	    13.000	     0.140
   600.000	    17.000	    16.000	     0.167
   700.000	    21.000	    20.000	     0.195
   800.000	    25.000	    24.000	     0.223
   900.000	    29.000	    28.000	     0.251
  1000.000	    34.000	    32.000	     0.279
  1100.000	    38.000	    36.000	     0.307
  1200.000	    42.000	    40.000	     0.335
  1300.000	    46.000	    44.000	     0.363
  1400.000	    49.000	    47.000	     0.391
  1500.000	    54.000	    51.000	     0.419
  1600.000	    58.000	    56.000	     0.447
  1700.000	    62.000	    60.000	     0.474
  1800.000	    67.000	    64.000	     0.502
  1900.000	    71.000	    68.000	     0.530
  2000.000	    75.000	    72.000	     0.558
  2100.000	    79.000	    76.000	     0.586
  2200.000	    83.000	    80.000	     0.614
  2300.000	    87.000	    85.000	     0.642
  2400.000	    92.000	    89.000	     0.670
  2500.000	    96.000	    93.000	     0.698
  2600.000	   101.000	    98.000	     0.726
  2700.000	   105.000	   102.000	     0.754
  2800.000	   110.000	   106.000	     0.782
  2900.000	   114.000	   110.000	     0.809
  3001.000	   118.000	   115.000	     0.838
  3101.000	   123.000	   120.000	     0.866
  3201.000	   128.000	   124.000	     0.893
  3301.000	   132.000	   129.000	     0.921
  3401.000	   137.000	   133.000	     0.949
  3501.000	   141.000	   138.000	     0.977
  3601.000	   146.000	   142.000	     1.005
  3701.000	   150.000	   146.000	     1.033
  3801.000	   155.000	   151.000	     1.061
  3901.000	   160.000	   156.000	     1.089
  4001.000	   164.000	   160.000	     1.117
  4101.000	   169.000	   165.000	     1.145
  4201.000	   174.000	   169.000	     1.173
  4301.000	   178.000	   174.000	     1.200
  4401.000	   183.000	   178.000	     1.228
  4501.000	   187.000	   183.000	     1.256
  4601.000	   192.000	   188.000	     1.284
  4701.000	   197.000	   193.000	     1.312
  4801.000	   202.000	   197.000	     1.340
   100.000	     3.000	     2.000	     0.028
   200.000	     6.000	     5.000	     0.055
   300.000	     9.000	     9.000	     0.083
   400.000	    13.000	    13.000	     0.111
   500.000	    17.000	    17.000	     0.139
   600.000	    21.000	    21.000	     0.166
   700.000	    25.000	    25.000	     0.194
   800.000	    29.000	    29.000	     0.222
   900.000	    33.000	    32.000	     0.249
  1000.000	    37.000	    36.000	     0.277
  1100.000	    42.000	    41.000	     0.305
  1200.000	    46.000	    46.000	     0.332
  1300.000	    50.000	    50.000	     0.360
  1400.000	    54.000	    54.000	     0.388
  1500.000	    58.000	    59.000	     0.416
  1600.000	    62.000	    64.000	     0.443
  1700.000	    66.000	    67.000	     0.471
  1800.000	    69.000	    71.000	     0.499
  1900.000	    74.000	    75.000	     0.526
  2000.000	    78.000	    79.000	     0.554
  2100.000	    82.000	    84.000	     0.582
  2200.000	    87.000	    88.000	     0.609
  2300.000	    91.000	    92.000	     0.637
  2400.000	    95.000	    96.000	     0.665
  2500.000	    99.000	   100.000	     0.693
  2600.000	   103.000	   104.000	     0.720
  2700.000	   107.000	   108.000	     0.748
  2800.000	   112.000	   113.000	     0.776
  2900.000	   117.000	   117.000	     0.803
  3001.000	   121.000	   122.000	     0.831
  3101.000	   125.000	   126.000	     0.859
  3201.000	   129.000	   130.000	     0.887
  3301.000	   133.000	   134.000	     0.914
  3401.000	   138.000	   138.000	     0.942
  3501.000	   142.000	   143.000	     0.970
  3601.000	   147.000	   147.000	     0.998
  3701.000	   152.000	   152.000	     1.025
  3801.000	   156.000	   156.000	     1.053
  3901.000	   160.000	   160.000	     1.081
  4001.000	   165.000	   165.000	     1.108
  4101.000	   169.000	   169.000	     1.136
  4201.000	   174.000	   174.000	     1.164
  4301.000	   178.000	   178.000	     1.191
  4401.000	   183.000	   183.000	     1.219
  4501.000	   188.000	   188.000	     1.247
  4601.000	   192.000	   192.000	     1.275
  4701.000	   197.000	   196.000	     1.302
  4801.000	   201.000	   201.000	     1.330
   100.000	     3.000	     2.000	     0.028
   200.000	     5.000	     4.000	     0.056
   300.000	     9.000	     7.000	     0.083
   400.000	    13.000	    11.000	     0.111
   500.000	    16.000	    14.000	     0.139
   600.000	    19.000	    17.000	     0.167
   700.000	    23.000	    21.000	     0.195
   800.000	    28.000	    25.000	     0.222
   900.000	    33.000	    29.000	     0.250
  1000.000	    37.000	    34.000	     0.278
  1100.000	    41.000	    38.000	     0.306
  1200.000	    45.000	    41.000	     0.334
  1300.000	    49.000	    45.000	     0.361
  1400.000	    52.000	    49.000	     0.389
  1500.000	    57.000	    53.000	     0.417
  1600.000	    61.000	    57.000	     0.445
  1700.000	    65.000	    61.000	     0.473
  1800.000	    70.000	    65.000	     0.501
  1900.000	    74.000	    70.000	     0.528
  2000.000	    78.000	    74.000	     0.556
  2100.000	    82.000	    77.000	     0.584
  2200.000	    86.000	    81.000	     0.612
  2300.000	    90.000	    86.000	     0.640
